epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,340.364,1.56615,0.86342,0.99203,0.41021,0.000237838,0.000237838,0.000237838
2,743.163,0.6301,0.90075,0.99454,0.29788,0.00042873,0.00042873,0.00042873
3,1140.55,0.54228,0.91714,0.99476,0.26553,0.000572498,0.000572498,0.000572498
4,1394.89,0.48122,0.93034,0.99613,0.21453,0.000501942,0.000501942,0.000501942
5,1743.81,0.40834,0.94514,0.99795,0.18103,0.000431256,0.000431256,0.000431256
6,2048.69,0.3644,0.95015,0.99818,0.15622,0.00036057,0.00036057,0.00036057
7,2437.58,0.32598,0.95174,0.99841,0.1488,0.000289884,0.000289884,0.000289884
8,2749.81,0.29806,0.96107,0.99863,0.12224,0.000219198,0.000219198,0.000219198
9,3048.67,0.27378,0.96381,0.99863,0.11495,0.000148512,0.000148512,0.000148512
10,3336.85,0.2571,0.96494,0.99909,0.10727,7.7826e-05,7.7826e-05,7.7826e-05
